sender,receiver,receiver_2,event_day,rec_pub_day,rec_pub_year,rec_pub_day_2,rec_pub_year_2,lag,lag_2,jac_sim,jac_sim_2,cumu_cit_rec,cumu_cit_rec_2,rec_outd,rec_outd_2,tfe,tfe_2,sim,sim_2
4812283,4418031,4081007,4821,2889,1983,817,1978,1932,4004,0.0,0.0,8,4.0,1,2,203,140.0,0.43522363901138306,0.26645734906196594
4820802,4474978,4397690,4849,3197,1984,2777,1983,1652,2072,0.0,0.0,16,2.0,3,5,7,616.0,0.4375039339065552,0.08647336810827255
4820125,4401394,4527238,4849,2798,1983,3470,1985,2051,1379,1.0,0.0,10,6.0,2,9,84,105.0,0.7553296089172363,0.24415458738803864
4821798,4662437,3987926,4856,4142,1987,299,1976,714,4557,1.0,0.0,1,3.0,5,1,714,189.0,0.5546575784683228,0.23509302735328674
4821394,4238876,4006457,4856,1811,1980,397,1977,3045,4459,0.0,0.0,13,3.0,3,1,406,728.0,0.5419422388076782,0.11613060534000397
4825380,4493608,3987216,4863,3302,1985,292,1976,1561,4571,1.0,0.0,1,4.0,8,1,1561,1932.0,0.4393209218978882,0.25485673546791077
4827918,4658809,4404753,4877,4128,1987,2819,1983,749,2058,1.0,0.0,1,6.0,3,1,749,847.0,0.6463766098022461,0.317731112241745
4827631,4589216,4549452,4877,3792,1986,3589,1985,1085,1288,1.0,0.0,1,1.0,4,5,1085,1288.0,0.39807191491127014,0.2108989655971527
4830800,4264548,4406809,4884,1944,1981,2826,1983,2940,2058,1.0,0.0,11,1.0,5,6,371,2058.0,0.6985158324241638,0.2147122174501419
4833134,4521413,4192410,4891,3442,1985,1531,1980,1449,3360,1.0,0.0,1,10.0,5,1,1449,1050.0,0.7843979597091675,0.15246368944644928
4834913,4300840,4072812,4898,2147,1981,768,1978,2751,4130,0.0,0.0,4,3.0,4,1,147,2954.0,0.40376919507980347,0.19158628582954407
4834643,4361531,4008228,4898,2525,1982,411,1977,2373,4487,1.0,0.0,2,1.0,3,1,1176,4487.0,0.5410387516021729,0.08675332367420197
4834023,4529679,4540139,4898,3484,1985,3540,1985,1414,1358,0.0,0.0,3,2.0,2,3,42,616.0,0.37712615728378296,0.1256421059370041
4837634,4494151,4242704,4905,3302,1985,1825,1980,1603,3080,1.0,1.0,5,14.0,3,1,140,154.0,0.4872130751609802,0.3955143988132477
4836557,4704612,4094709,4905,4324,1987,894,1978,581,4011,0.0,0.0,1,11.0,1,2,581,791.0,0.5971336364746094,0.20731808245182037
4839632,4553134,4379362,4912,3603,1985,2658,1983,1309,2254,0.5,0.0,2,1.0,4,2,7,2254.0,0.48150742053985596,0.22539971768856049
4840882,4584267,4341345,4919,3764,1986,2399,1982,1155,2520,1.0,0.0,5,4.0,1,7,42,1162.0,0.6711211204528809,0.1847248375415802
4840112,4744004,3999204,4919,4513,1988,355,1976,406,4564,0.0,0.0,2,2.0,6,1,168,3108.0,0.44028210639953613,0.2668376564979553
4840698,4491492,4164436,4919,3288,1985,1321,1979,1631,3598,0.25,0.0,6,4.0,7,2,406,21.0,0.3863462507724762,0.3779457211494446
4850168,4496201,3979748,4954,3316,1985,250,1976,1638,4704,1.0,0.0,4,3.0,5,1,28,1498.0,0.4894082546234131,0.10214152187108994
4854210,4269103,4722197,4968,1972,1981,4415,1988,2996,553,1.0,0.0,2,1.0,3,4,2128,553.0,0.6430355310440063,0.09283635020256042
4857840,4454583,4595738,4975,3085,1984,3820,1986,1890,1155,0.3333333333333333,0.0,7,1.0,6,2,35,1155.0,0.3687207102775574,0.1087394580245018
4859978,4554730,4525965,4982,3617,1985,3470,1985,1365,1512,1.0,0.0,1,2.0,5,5,1365,791.0,0.4988035261631012,0.33311885595321655
4858948,4518171,4210102,4982,3428,1985,1643,1980,1554,3339,1.0,0.0,2,5.0,3,5,714,112.0,0.717099666595459,0.35355448722839355
4859944,4277751,4135066,4982,2014,1981,1111,1979,2968,3871,1.0,0.0,14,12.0,1,1,784,91.0,0.7418553233146667,0.17273622751235962
4860303,4150341,4723215,4982,1202,1979,4415,1988,3780,567,1.0,0.0,7,1.0,1,6,49,567.0,0.48141300678253174,0.13221478462219238
4861239,4611974,4257885,4989,3911,1986,1909,1981,1078,3080,1.0,0.0,1,18.0,5,1,1078,119.0,0.6925304532051086,0.022430039942264557
4863793,4275113,4152386,4996,2000,1981,1216,1979,2996,3780,0.0,0.0,18,4.0,2,2,63,938.0,0.7500735521316528,0.28274863958358765
4862585,4697319,4587722,4996,4296,1987,3785,1986,700,1211,0.3333333333333333,0.0,2,1.0,3,4,91,1211.0,0.39810892939567566,0.29511865973472595
4867137,4759346,4694319,5010,4590,1988,4275,1987,420,735,1.0,0.0,2,1.0,2,2,7,735.0,0.6814163327217102,0.3332609236240387
4870910,4013023,4166229,5024,446,1977,1335,1979,4578,3689,1.0,0.0,25,16.0,1,1,35,98.0,0.5517093539237976,0.19258281588554382
4872073,4180701,4129468,5024,1454,1979,1076,1978,3570,3948,0.0,0.0,5,10.0,1,3,1883,434.0,0.5159286856651306,0.1589805632829666
4877556,4801544,4179128,5052,4779,1989,1447,1979,273,3605,0.5,0.0,1,2.0,11,2,273,2338.0,0.5523319840431213,0.13424159586429596
4880697,4284674,4277907,5066,2056,1981,2021,1981,3010,3045,0.0,0.0,13,4.0,4,1,98,210.0,0.47470787167549133,0.10744214057922363
4883522,4433239,4012942,5080,2973,1984,446,1977,2107,4634,0.0,0.0,3,19.0,3,1,308,196.0,0.20802536606788635,0.04553438723087311
4883832,4501911,4643542,5080,3344,1985,4065,1987,1736,1015,0.0,0.0,2,2.0,1,2,665,280.0,0.3779278099536896,-0.006415490061044693
4891343,4507394,4239572,5115,3372,1985,1811,1980,1743,3304,1.0,0.0,5,4.0,3,1,21,203.0,0.45581483840942383,0.18695390224456787
4890641,4542852,4560996,5115,3554,1985,3645,1985,1561,1470,0.0,0.0,5,1.0,1,1,14,1470.0,0.6436077952384949,0.28231239318847656
4894342,4440853,4395918,5129,3015,1984,2770,1983,2114,2359,1.0,0.0,11,5.0,5,1,217,7.0,0.4731493592262268,0.4140850305557251
4900253,4592726,4357351,5157,3806,1986,2497,1982,1351,2660,1.0,0.0,2,2.0,5,3,672,1743.0,0.48044371604919434,0.11368286609649658
4903131,4513324,4450498,5164,3400,1985,3064,1984,1764,2100,1.0,0.0,6,2.0,5,1,714,1575.0,0.5006229281425476,-0.038660354912281036
4909852,4221606,4357085,5192,1713,1980,2497,1982,3479,2695,0.0,0.0,8,17.0,7,2,602,266.0,0.4196156859397888,0.21930931508541107
